iter	Passed	Remaining
0	50	50019
1	50	25266
2	51	16990
3	51	12837
4	52	10364
5	52	8694
6	52	7509
7	53	6611
8	53	5917
9	54	5369
10	55	4946
11	55	4582
12	56	4269
13	58	4100
14	58	3859
15	59	3649
16	60	3523
17	61	3363
18	62	3208
19	62	3078
20	63	2954
21	64	2852
22	64	2749
23	65	2658
24	65	2569
25	66	2487
26	66	2409
27	67	2335
28	67	2268
29	68	2206
30	68	2154
31	69	2106
32	70	2067
33	71	2021
34	71	1974
35	72	1928
36	72	1887
37	73	1860
38	74	1827
39	74	1796
40	75	1762
41	75	1731
42	76	1700
43	77	1673
44	77	1646
45	78	1618
46	78	1594
47	79	1573
48	79	1550
49	80	1526
50	80	1503
51	81	1482
52	81	1462
53	82	1441
54	82	1424
55	83	1412
56	84	1402
57	85	1387
58	86	1385
59	87	1374
60	88	1364
61	89	1349
62	89	1337
63	90	1322
64	90	1307
65	91	1292
66	91	1278
67	91	1260
68	92	1247
69	92	1234
70	93	1221
71	94	1211
72	94	1200
73	95	1199
74	96	1189
75	96	1178
76	97	1167
77	98	1158
78	99	1156
79	100	1154
80	101	1146
81	101	1137
82	102	1136
83	103	1127
84	103	1115
85	104	1106
86	104	1096
87	104	1088
88	105	1080
89	106	1072
90	106	1064
91	106	1055
92	107	1048
93	108	1042
94	108	1036
95	109	1031
96	110	1024
97	111	1029
98	112	1023
99	112	1016
100	113	1008
101	113	999
102	114	993
103	114	988
104	115	981
105	115	975
106	116	969
107	116	963
108	117	958
109	117	954
110	118	948
111	118	942
112	119	937
113	120	936
114	121	934
115	121	928
116	122	923
117	122	919
118	123	914
119	124	909
120	124	907
121	126	907
122	126	901
123	126	896
124	127	892
125	127	887
126	128	883
127	128	877
128	129	873
129	129	868
130	130	864
131	130	859
132	131	855
133	131	851
134	132	847
135	132	843
136	133	838
137	133	834
138	134	830
139	139	855
140	140	853
141	140	849
142	141	845
143	141	841
144	141	836
145	142	833
146	142	829
147	143	825
148	143	822
149	144	819
150	145	815
151	145	811
152	145	807
153	146	803
154	146	799
155	147	796
156	147	792
157	148	790
158	149	789
159	150	787
160	150	786
161	151	785
162	152	782
163	153	780
164	153	779
165	154	775
166	154	772
167	155	769
168	155	766
169	156	762
170	156	759
171	157	757
172	158	756
173	158	754
174	159	751
175	160	749
176	160	747
177	161	745
178	162	743
179	166	757
180	166	754
181	167	752
182	168	751
183	168	748
184	169	745
185	169	743
186	170	740
187	170	737
188	172	738
189	172	735
190	173	733
191	173	730
192	174	727
193	174	725
194	175	722
195	175	720
196	176	721
197	177	720
198	178	717
199	178	715
200	179	714
201	180	711
202	180	709
203	181	707
204	181	705
205	182	703
206	182	700
207	183	698
208	183	696
209	184	694
210	185	691
211	185	689
212	185	686
213	186	684
214	186	681
215	187	679
216	187	676
217	188	675
218	191	683
219	193	685
220	193	683
221	194	681
222	194	679
223	195	676
224	195	674
225	196	672
226	196	669
227	196	666
228	197	663
229	197	661
230	197	658
231	198	656
232	198	654
233	199	651
234	199	649
235	199	647
236	200	645
237	200	642
238	201	640
239	201	638
240	202	636
241	202	634
242	203	634
243	204	632
244	204	631
245	205	629
246	206	628
247	206	626
248	207	624
249	207	623
250	208	621
251	208	619
252	209	617
253	209	616
254	210	613
255	210	612
256	211	610
257	211	608
258	211	606
259	212	604
260	212	601
261	212	599
262	213	598
263	213	596
264	214	593
265	214	591
266	215	590
267	215	588
268	218	592
269	218	591
270	219	590
271	219	588
272	220	586
273	220	584
274	220	582
275	221	580
276	221	578
277	221	576
278	222	573
279	222	572
280	222	570
281	223	568
282	223	566
283	224	564
284	224	562
285	224	561
286	225	559
287	225	557
288	225	555
289	226	553
290	226	551
291	226	549
292	227	548
293	227	546
294	227	544
295	228	542
296	228	540
297	228	539
298	229	537
299	229	536
300	230	534
301	231	534
302	231	533
303	232	532
304	232	530
305	233	529
306	233	527
307	234	526
308	234	524
309	235	523
310	235	521
311	235	520
312	236	518
313	236	517
314	237	515
315	237	514
316	237	512
317	238	510
318	238	509
319	238	507
320	239	506
321	239	504
322	240	503
323	240	502
324	241	500
325	241	499
326	241	497
327	242	496
328	242	495
329	243	493
330	244	493
331	245	493
332	246	493
333	246	492
334	248	492
335	248	491
336	249	489
337	249	488
338	249	486
339	250	485
340	250	484
341	250	482
342	251	481
343	251	479
344	251	478
345	252	477
346	252	475
347	253	474
348	253	472
349	253	471
350	254	469
351	254	468
352	254	467
353	255	465
354	255	464
355	255	462
356	256	461
357	256	459
358	256	458
359	257	457
360	257	456
361	259	456
362	259	455
363	260	454
364	260	453
365	261	452
366	261	451
367	261	449
368	262	448
369	262	447
370	263	446
371	263	444
372	263	443
373	264	442
374	264	440
375	264	439
376	265	438
377	265	437
378	266	436
379	266	435
380	267	433
381	267	432
382	267	431
383	268	430
384	268	428
385	268	427
386	269	426
387	269	425
388	269	423
389	270	422
390	270	421
391	271	420
392	272	420
393	273	420
394	273	419
395	274	418
396	274	417
397	275	416
398	275	415
399	276	414
400	276	413
401	276	411
402	277	410
403	277	409
404	277	408
405	278	407
406	278	405
407	278	404
408	279	403
409	279	402
410	279	400
411	280	399
412	280	398
413	280	397
414	281	396
415	281	395
416	282	394
417	282	393
418	282	392
419	283	391
420	283	390
421	284	389
422	284	388
423	285	388
424	286	387
425	286	386
426	287	385
427	287	384
428	288	383
429	289	383
430	289	382
431	290	381
432	290	380
433	291	379
434	291	378
435	292	377
436	292	376
437	292	375
438	293	374
439	293	373
440	294	372
441	294	371
442	294	370
443	295	369
444	295	368
445	295	367
446	296	366
447	296	365
448	296	364
449	297	363
450	297	362
451	298	361
452	299	362
453	300	361
454	301	360
455	301	360
456	302	359
457	302	358
458	302	356
459	303	355
460	303	354
461	303	353
462	304	352
463	304	351
464	305	350
465	305	349
466	305	348
467	306	347
468	306	346
469	306	345
470	306	344
471	307	343
472	307	342
473	307	341
474	308	340
475	308	339
476	308	338
477	309	337
478	309	336
479	310	335
480	310	334
481	310	334
482	311	333
483	312	332
484	312	332
485	313	331
486	314	330
487	314	329
488	314	329
489	315	328
490	315	327
491	316	326
492	316	325
493	316	324
494	317	323
495	317	322
496	318	322
497	318	321
498	318	320
499	319	319
500	319	318
501	319	317
502	320	316
503	320	315
504	320	314
505	321	313
506	321	312
507	322	311
508	322	311
509	322	310
510	323	309
511	323	308
512	324	307
513	324	306
514	325	306
515	325	305
516	326	305
517	327	304
518	327	303
519	328	303
520	328	302
521	329	301
522	329	300
523	329	299
524	330	298
525	330	298
526	331	297
527	331	296
528	332	295
529	332	294
530	332	293
531	333	293
532	333	292
533	333	291
534	334	290
535	334	289
536	335	288
537	335	287
538	335	287
539	335	286
540	336	285
541	336	284
542	336	283
543	337	282
544	337	281
545	338	281
546	339	281
547	340	280
548	340	279
549	340	278
550	341	278
551	341	277
552	342	276
553	342	275
554	342	274
555	343	274
556	343	273
557	344	272
558	344	271
559	345	271
560	345	270
561	345	269
562	346	268
563	346	267
564	346	266
565	347	266
566	347	265
567	347	264
568	348	263
569	348	262
570	348	262
571	349	261
572	349	260
573	349	259
574	350	258
575	350	257
576	350	257
577	351	256
578	351	255
579	353	255
580	354	255
581	354	254
582	355	253
583	355	253
584	355	252
585	356	251
586	356	250
587	357	250
588	357	249
589	357	248
590	357	247
591	358	246
592	358	246
593	359	245
594	359	244
595	359	243
596	360	243
597	360	242
598	360	241
599	360	240
600	361	239
601	361	239
602	362	238
603	362	237
604	363	237
605	363	236
606	364	235
607	364	234
608	364	234
609	365	233
610	365	232
611	366	232
612	367	232
613	368	231
614	368	230
615	369	230
616	369	229
617	370	228
618	370	228
619	371	227
620	371	226
621	372	226
622	372	225
623	373	224
624	373	224
625	374	223
626	374	222
627	375	222
628	375	221
629	376	220
630	376	220
631	377	219
632	377	218
633	377	218
634	378	217
635	378	216
636	379	216
637	379	215
638	382	216
639	383	215
640	384	215
641	384	214
642	385	213
643	385	213
644	385	212
645	386	211
646	386	211
647	387	210
648	387	209
649	388	209
650	388	208
651	389	207
652	389	206
653	389	206
654	390	205
655	390	204
656	391	204
657	391	203
658	391	202
659	392	202
660	392	201
661	393	200
662	393	200
663	394	199
664	395	199
665	396	198
666	396	198
667	397	197
668	398	197
669	398	196
670	399	195
671	399	195
672	400	194
673	400	193
674	401	193
675	402	192
676	402	191
677	402	191
678	403	190
679	403	190
680	404	189
681	404	188
682	405	188
683	405	187
684	406	186
685	406	186
686	407	185
687	408	185
688	408	184
689	409	184
690	410	183
691	411	182
692	411	182
693	412	181
694	413	181
695	413	180
696	414	180
697	414	179
698	415	178
699	415	178
700	416	177
701	416	176
702	417	176
703	417	175
704	418	174
705	418	174
706	418	173
707	419	172
708	419	172
709	420	171
710	420	170
711	420	170
712	421	169
713	421	168
714	422	168
715	422	167
716	424	167
717	424	166
718	425	166
719	426	165
720	426	165
721	427	164
722	427	163
723	428	163
724	428	162
725	429	162
726	429	161
727	430	160
728	430	160
729	430	159
730	431	158
731	431	158
732	432	157
733	432	156
734	433	156
735	433	155
736	434	154
737	434	154
738	435	153
739	435	153
740	436	152
741	436	151
742	437	151
743	438	150
744	438	150
745	439	149
746	439	148
747	439	148
748	440	147
749	440	146
750	441	146
751	441	145
752	442	145
753	442	144
754	443	143
755	443	143
756	443	142
757	444	141
758	444	141
759	445	140
760	445	140
761	446	139
762	446	138
763	447	138
764	447	137
765	448	136
766	448	136
767	449	135
768	450	135
769	451	134
770	452	134
771	452	133
772	453	133
773	454	132
774	454	132
775	455	131
776	455	130
777	456	130
778	456	129
779	457	128
780	457	128
781	458	127
782	458	127
783	458	126
784	459	125
785	460	125
786	460	124
787	460	123
788	461	123
789	461	122
790	462	122
791	462	121
792	463	120
793	463	120
794	464	119
795	465	119
796	465	118
797	466	118
798	466	117
799	466	116
800	467	116
801	468	115
802	468	115
803	469	114
804	469	113
805	470	113
806	470	112
807	470	111
808	471	111
809	471	110
810	472	110
811	472	109
812	473	108
813	473	108
814	474	107
815	474	106
816	474	106
817	475	105
818	475	105
819	476	104
820	477	104
821	477	103
822	478	102
823	478	102
824	478	101
825	479	100
826	479	100
827	480	99
828	480	99
829	481	98
830	481	97
831	481	97
832	482	96
833	482	96
834	482	95
835	483	94
836	483	94
837	483	93
838	483	92
839	484	92
840	484	91
841	484	90
842	485	90
843	486	89
844	486	89
845	487	88
846	487	88
847	487	87
848	488	86
849	489	86
850	492	86
851	493	85
852	493	85
853	494	84
854	494	83
855	495	83
856	495	82
857	495	82
858	496	81
