iter	Passed	Remaining
0	0	608
1	1	524
2	1	489
3	1	477
4	2	455
5	3	527
6	3	532
7	4	559
8	5	568
9	5	569
10	6	574
11	6	574
12	7	573
13	9	668
14	10	689
15	11	707
16	12	706
17	12	706
18	13	701
19	14	692
20	14	681
21	15	669
22	15	657
23	15	648
24	16	637
25	17	644
26	17	638
27	18	633
28	18	628
29	19	625
30	19	623
31	20	620
32	21	625
33	22	626
34	23	638
35	24	645
36	25	652
37	25	647
38	26	653
39	27	651
40	27	646
41	28	641
42	28	638
43	29	631
44	29	626
45	30	622
46	30	626
47	31	625
48	32	625
49	32	622
50	33	618
51	33	616
52	34	613
53	35	613
54	35	613
55	36	617
56	37	620
57	38	625
58	39	627
59	39	625
60	40	621
61	40	618
62	41	614
63	41	610
64	42	607
65	42	604
66	43	600
67	43	597
68	44	595
69	44	596
70	45	594
71	46	594
72	46	594
73	47	592
74	47	591
75	48	589
76	49	587
77	49	589
78	50	593
79	52	598
80	52	599
81	53	602
82	54	599
83	54	595
84	55	593
85	55	590
86	55	587
87	56	584
88	56	582
89	57	579
90	57	577
91	58	574
92	58	572
93	59	570
94	60	571
95	60	570
96	61	569
97	61	570
98	62	569
99	63	567
100	63	566
101	64	565
102	65	566
103	66	570
104	66	570
105	67	571
106	68	570
107	68	568
108	69	569
109	70	568
110	70	566
111	71	564
112	71	563
113	72	561
114	72	560
115	73	559
116	73	557
117	74	558
118	75	559
119	76	559
120	77	561
121	77	559
122	78	559
123	78	557
124	79	555
125	79	553
126	80	550
127	80	548
128	81	547
129	81	545
130	81	543
131	82	541
132	82	539
133	83	537
134	83	536
135	84	534
136	84	533
137	85	534
138	86	533
139	86	532
140	87	531
141	87	529
142	88	527
143	88	527
144	89	526
145	89	525
146	90	525
147	91	524
148	91	522
149	91	521
150	92	519
151	92	518
152	93	516
153	93	514
154	94	512
155	94	511
156	94	509
157	95	508
158	95	507
159	96	505
160	96	503
161	97	502
162	97	501
163	98	499
164	98	498
165	99	497
166	99	498
167	100	496
168	100	495
169	101	494
170	101	493
171	102	491
172	102	490
173	103	489
174	103	487
175	103	486
176	104	485
177	104	484
178	105	482
179	105	481
180	106	480
181	106	478
182	106	477
183	107	476
184	107	474
185	108	473
186	108	472
187	109	470
188	109	469
189	109	467
190	110	466
191	110	465
192	110	464
193	111	463
194	111	462
195	112	460
196	112	459
197	113	459
198	113	458
199	114	457
200	114	456
201	115	455
202	115	454
203	116	453
204	116	452
205	117	451
206	117	451
207	118	450
208	118	449
209	119	448
210	119	447
211	120	446
212	120	445
213	120	444
214	121	443
215	121	441
216	122	440
217	122	439
218	122	438
219	123	437
220	123	435
221	124	434
222	124	433
223	124	432
224	125	431
225	125	430
226	126	429
227	126	428
228	126	427
229	127	426
230	127	425
231	128	424
232	128	423
233	129	422
234	129	422
235	130	421
236	130	420
237	130	419
238	131	418
239	132	418
240	132	417
241	132	416
242	133	415
243	133	414
244	134	413
245	134	413
246	135	412
247	135	411
248	136	410
249	136	409
250	137	408
251	137	408
252	138	407
253	138	407
254	139	407
255	139	406
256	140	406
257	141	406
258	141	405
259	142	404
260	142	403
261	143	402
262	143	402
263	143	401
264	144	400
265	145	400
266	145	399
267	146	399
268	146	399
269	147	398
270	147	397
271	148	396
272	149	398
273	150	397
274	150	396
275	150	396
276	151	395
277	151	394
278	152	393
279	152	393
280	153	392
281	153	391
282	154	391
283	154	390
284	155	389
285	155	388
286	156	388
287	156	388
288	157	387
289	157	386
290	158	386
291	159	386
292	160	386
293	160	385
294	161	385
295	161	385
296	162	384
297	163	384
298	163	384
299	164	383
300	164	383
301	165	383
302	166	382
303	166	382
304	167	381
305	167	380
306	168	380
307	168	379
308	169	378
309	169	377
310	170	377
311	170	376
312	171	375
313	171	375
314	172	374
315	172	373
316	173	373
317	173	372
318	174	371
319	174	370
320	174	369
321	175	368
322	175	367
323	175	366
324	176	366
325	176	365
326	176	364
327	177	363
328	177	362
329	178	362
330	179	361
331	179	361
332	180	360
333	180	359
334	180	359
335	181	358
336	181	357
337	182	356
338	182	356
339	183	355
340	183	354
341	183	353
342	184	352
343	184	351
344	184	350
345	185	350
346	185	349
347	185	348
348	186	347
349	186	346
350	186	345
351	187	344
352	187	343
353	187	342
354	188	341
355	188	341
356	188	340
357	189	339
358	189	338
359	189	337
360	190	336
361	190	335
362	190	334
363	191	334
364	191	333
365	191	332
366	192	331
367	192	330
368	193	330
369	193	329
370	193	328
371	194	328
372	194	327
373	195	326
374	195	325
375	195	324
376	196	324
377	196	323
378	196	322
379	197	321
380	197	320
381	197	320
382	198	319
383	198	318
384	198	317
385	199	316
386	199	316
387	199	315
388	200	314
389	200	313
390	200	313
391	201	312
392	201	311
393	202	310
394	202	309
395	202	309
396	202	308
397	203	307
398	203	306
399	203	305
400	204	304
401	204	304
402	204	303
403	205	302
404	205	301
405	205	300
406	205	299
407	206	299
408	206	298
409	206	297
410	206	296
411	207	295
412	207	295
413	207	294
414	208	293
415	208	292
416	208	291
417	209	291
418	209	290
419	209	289
420	210	289
421	210	288
422	211	288
423	211	287
424	212	286
425	212	286
426	212	285
427	213	285
428	213	284
429	213	283
430	214	282
431	214	281
432	214	281
433	215	280
434	215	279
435	215	278
436	215	278
437	216	277
438	216	276
439	216	275
440	217	275
441	217	274
442	217	273
443	218	273
444	218	272
445	218	271
446	218	270
447	219	270
448	219	269
449	219	268
450	220	267
451	220	267
452	220	266
453	220	265
454	221	265
455	221	264
456	221	263
457	222	262
458	222	262
459	222	261
460	222	260
461	223	260
462	223	259
463	224	258
464	224	258
465	224	257
466	225	257
467	225	256
468	225	255
469	226	255
470	226	254
471	227	254
472	227	253
473	228	253
474	228	252
475	228	251
476	229	251
477	229	250
478	229	250
479	230	249
480	230	248
481	230	248
482	231	247
483	231	246
484	231	246
485	232	245
486	232	245
487	232	244
488	233	243
489	233	243
490	233	242
491	234	241
492	234	241
493	234	240
494	235	239
495	235	239
496	235	238
497	236	237
498	236	237
499	236	236
500	237	236
501	237	235
502	237	234
503	238	234
504	238	233
505	238	233
506	239	232
507	239	232
508	240	231
509	240	230
510	240	230
511	240	229
512	241	229
513	241	228
514	241	227
515	242	227
516	242	226
517	242	226
518	243	225
519	243	224
520	244	224
521	244	223
522	244	223
523	245	222
524	245	222
525	245	221
526	246	220
527	246	220
528	246	219
529	247	219
530	247	218
531	247	217
532	248	217
533	248	216
534	248	216
535	248	215
536	249	214
537	249	214
538	249	213
539	249	212
540	250	212
541	250	211
542	250	211
543	251	210
544	251	209
545	251	209
546	252	208
547	252	208
548	252	207
549	253	207
550	253	206
551	253	206
552	254	205
553	254	204
554	254	204
555	255	203
556	255	203
557	255	202
558	255	201
559	256	201
560	256	200
561	256	200
